GAMEPLAY_shelf,Shelf,wooDen shelf,Hylle
GAMEPLAY_Sheltered,Sheltered,,Beskytta
GAMEPLAY_Ship,Ship,Ship you can enter,Skøyte
GAMEPLAY_Shoes,Shoes,,Joggesko
GAMEPLAY_Shoes_Decent,decent Running Shoes,,Nyttande joggesko
GAMEPLAY_Shoes_Mint,New Running Shoes,,Nye joggesko
GAMEPLAY_Shoes_Ragged,Ragged Running Shoes,,Fillete joggesko
GAMEPLAY_Shoes_Ruined,Ruined Running Shoes,,Unyttande joggesko
GAMEPLAY_Shoes_Worn,Worn Running Shoes,,Velbrukte joggesko
GAMEPLAY_ShoesDescription,Light nylon shoes designed to feel weightless. Better than running around barefoot but...not much.,,"Lette nylonsko, designa for å kjennast vektlause. Betre enn å springa rundt barføtt, men ikkje mye."
GAMEPLAY_Shoot,Strike,,Skyt
GAMEPLAY_Shovel,Shovel,,Spade
GAMEPLAY_ShovelDescription,Missing,,Manglar
GAMEPLAY_ShowPlayerPositionStory,Show Position Arrow In Wintermute,,
GAMEPLAY_ShowPlayerPositionStoryTooltip,Toggles the Player Position Arrow On or Off when playing WINTERMUTE.,,
GAMEPLAY_ShowSteamControllerBindings,Show Bindings,,Vis knappeval
GAMEPLAY_SignedInAs,Signed in as,,Innlogga som
GAMEPLAY_SilentClearing,Silent Clearing,,Stille rydning
GAMEPLAY_SimpleTools,Simple Tools,,Enkle reiskap
GAMEPLAY_SimpleToolsDescription,"Simple tools, usable for basic crafting and repair.",,Enkle reiskapar som kan nyttast til å vøla og laga enkle ting.
GAMEPLAY_Sit,Sit,,Sett deg
GAMEPLAY_SkiBoots,Ski Boots,,Skisko
GAMEPLAY_SkiBoots_Decent,decent Ski Boots,,Nyttande skisko
GAMEPLAY_SkiBoots_Mint,New Ski Boots,,Nye skisko
GAMEPLAY_SkiBoots_Ragged,Ragged Ski Boots,,Fillete skisko
GAMEPLAY_SkiBoots_Ruined,Ruined Ski Boots,,Unyttande skisko
GAMEPLAY_SkiBoots_Worn,Worn Ski Boots,,Velbrukte skisko
GAMEPLAY_SkiBootsDescription,Hard plastic boots with high-tech synthetic insulation. Will keep your feet very warm at the expense of mobility.,,"Harde plastsko med høyteknologisk syntetisk isolasjon. Held føtene dine særs varme, men dei er ikkje rekna til å med utan ski."
GAMEPLAY_SkiGloves,Ski Gloves,,Skihanskar
GAMEPLAY_SkiGloves_Decent,decent Ski Gloves,,Nyttande skihanskar
GAMEPLAY_SkiGloves_Mint,New Ski Gloves,,Nye skihanskar
GAMEPLAY_SkiGloves_Ragged,Ragged Ski Gloves,,Fillete skihanskar
GAMEPLAY_SkiGloves_Ruined,Ruined Ski Gloves,,Unyttande skihanskar
GAMEPLAY_SkiGloves_Worn,Worn Ski Gloves,,Velbrukte skihanskar
GAMEPLAY_SkiGlovesDescription,"Nylon ski gloves that go well beyond the wrist. Synthetic insulation keeps the hands warm, and the outer layer is nicely waterproof.",,"Skihanskar i nylon som dekkjer delar av underarmen. Syntetisk isolasjon held nevane varme, og hanskane er dessuten vanntette."
GAMEPLAY_SkiJacket,Ski Jacket,,Skijakke
GAMEPLAY_SkiJacket_Decent,decent Ski Jacket,,Nyttande skijakke
GAMEPLAY_SkiJacket_Mint,New Ski Jacket,,Ny skijakke
GAMEPLAY_SkiJacket_Ragged,Ragged Ski Jacket,,Fillete skijakke
GAMEPLAY_SkiJacket_Ruined,Ruined Ski Jacket,,Unyttande skijakke
GAMEPLAY_SkiJacket_Worn,Worn Ski Jacket,,Velbrukt skijakke
GAMEPLAY_SkiJacketDescription,"Synthetic, quilted ski jacket. Keeps the core warm but at the expense of windproofing.",,"Syntetisk, vattert skijakke. Held overkroppen varm, men vindtett er han ikkje."
GAMEPLAY_SkillAimAssistTier4,Minor,"A level of adjustment to an ""aim assist"" skill when shooting a Revolver or Rifle.",
GAMEPLAY_SkillAimAssistTier5,Moderate,"A level of adjustment to an ""aim assist"" skill when shooting a Revolver or Rifle.",
GAMEPLAY_SkillBeginner,Beginner,,Nybyrjar
GAMEPLAY_Skillet,Cooking Skillet,,
GAMEPLAY_SkilletDescription,A pan for cooking and frying.,,
GAMEPLAY_SkillExpert,Expert,,Ekspert
GAMEPLAY_SkillIncrease,Improves {name} skill by {value} points,Improves Fire Starting skill by 10 points,Forbetrar {name}dugleiken din med {value} poeng
GAMEPLAY_SkillIncreased,{name} skill increased to {%-value},,{name}dugleiken din auka til {%-value}
GAMEPLAY_SkillMaster,Master,,Meister
GAMEPLAY_SkillNovice,Novice,,Amatør
GAMEPLAY_SkillPointsValue,{value} Points,2 Points,{value} poeng
GAMEPLAY_SkillPointValue,{value} Point,1 Point,{value} poeng
GAMEPLAY_Skills,Skills,Skills section in Log,Dugleik
GAMEPLAY_SkillSkilled,Skilled,,Dugande
GAMEPLAY_SkillTooAdvancedToBenefit,Your skills are too advanced for this research item,,Dugleikane dine er so gode at du kan lesestoffet i frå før
GAMEPLAY_skipTutorial,Skip Tutorial,,Hopp over rettleiing
GAMEPLAY_SkyboundInsidersText,Get the latest news and updates straight from the source.,,Få siste nyhende og oppdateringar rett frå kjelda.
GAMEPLAY_SkyboundInsidersTitle,Become a Skybound Insider,,Vert ein Skubound-innsidar
GAMEPLAY_Slashing,Slashing,"Struggle weapon picker category ""Slashing""",Fleng
GAMEPLAY_Sleep,Sleep,,Sov
GAMEPLAY_SleepInterrupted,Something woke you up.,,Noko vekka deg.
GAMEPLAY_SleepInterruptedDueToFreezing,You woke up freezing,woke up early due to freezing,Du vakna fordi du fraus
GAMEPLAY_SleepInterruptedWolf,Interrupted by wolf during sleep!  Had been sleeping for,,Ein ulv forstyrra deg medan du sov! Du sov i 
GAMEPLAY_SleepUntilRested,Sleep Until Rested,,Sov til du er utkvilt
GAMEPLAY_SlightlyTired,Slightly Tired,,Litt trøytt
GAMEPLAY_SlotsUsed,Slots Used,"Number of slots used displayed on loading screens. Prefixed with ""X / 25"" to show number of active slots.",felt nytta
GAMEPLAY_Small,Small,,Liten
GAMEPLAY_SmallCupboard,Small Cupboard,,Lite skåp
GAMEPLAY_SmashCan,Smash Can,,Slå opp boks
GAMEPLAY_SmashedItem,Smashed {item-name}.,,Slo opp {item-name}.
GAMEPLAY_SmashedOpenPostfix,(Smashed Open),,(Slege opp)
GAMEPLAY_SmashingOpenProgress,Smashing Open...,,Slår opp...
GAMEPLAY_Snare,Snare,,Snare
GAMEPLAY_SnareDescription,"A simple snare, used to capture small game.",,"Ei enkel snare, nyttast til å fange småvilt."
GAMEPLAY_Snow,Snow,,Snø
GAMEPLAY_SnowShelter,Snow Shelter,,Snøhole
GAMEPLAY_SnowShelterMustBeBuiltInSnow,Snow Shelter must be built in snow,,Snøholer må byggjast i snøen
GAMEPLAY_SnowShelterPerfectCondition,Snow Shelter doesn't need repair,,Snøhola treng ikkje vøling
GAMEPLAY_SodaEnergy,Go! Energy Drink,A small energy drink that gives a temporary boost,Go! energidrykk
GAMEPLAY_SodaEnergyDescription,"Provides a boost to Stamina and reduces Fatigue for a short while. Good for extra energy when in tough spots, but distracting headaches may follow.",A small energy drink that gives a temporary boost,
GAMEPLAY_Softwood,Softwood,,Bartreved
GAMEPLAY_Sort,Sort,,Sorter
GAMEPLAY_SortAlphabetic,Alphabetic,,Alfabetisk
GAMEPLAY_SortCondition,Condition,,Stand
GAMEPLAY_SortHeader,Sort:,,Sorter:
GAMEPLAY_SortWeight,Weight,,Vekt
GAMEPLAY_Sound,Sound,,Lyd
GAMEPLAY_SoundDescription,Adjusts gameplay sound effects and wildlife noises.,Options Menu volume sliders,Endrar lydnivået på spelelement og villdyr.
GAMEPLAY_South,South,,Sør
GAMEPLAY_SouthEast,South East,,Søraust
GAMEPLAY_SouthWest,South West,,Sørvest
GAMEPLAY_Spacebar,Space,,Mellomrom
GAMEPLAY_SpearHead,Spear Head,,Sjutspiss
GAMEPLAY_SpearHeadDescription,"The business end of a Bear Spear. Rough-hammered, but effective. Crafted from Scrap Metal.",,Vert nok til eit sabla godt bjørnespjut om ein set det på enden av eit løneskaft.
GAMEPLAY_SpecialRecipe,Unique Recipe,,
GAMEPLAY_Spend,Spend,"as in ""spend X hours"" doing something",Nytt
GAMEPLAY_SprainedAnkle,Sprained Ankle,,Rengja ankel
GAMEPLAY_SprainedAnkleDescription,"You have twistad your ankle and are now suffering a sprain. Your mobility will be reduced until you treat it, or it heals over time.",,"Du har tråkka over og rengja ankelen. Rørsleevna di vil vera redusert til du behandlar skaden, eller han legast av seg sjølv."
GAMEPLAY_SprainedAnkleHealed,Sprained Ankle Healed,,Rengja ankel lega
GAMEPLAY_SprainedAnkleHUD,Suffered sprained ankle,,Du har rengja ankelen
GAMEPLAY_SprainedAnkleLog,Sprained ankle.,,Rengja ankel.
GAMEPLAY_SprainedWrist,Sprained Wrist,,Rengja handledd
GAMEPLAY_SprainedWristCannotHold2HandedWeapon,You cannot equip a two-handed weapon while you have a sprained wrist.,,
GAMEPLAY_SprainedWristCannotHoldWeapon,You cannot equip a weapon while you have a sprained wrist.,,Du kan ikkje nytta våpen medan du har rengja handleddet.
GAMEPLAY_SprainedWristDescription,"You have sprained your wrist. You will not be able to hald weapons until you treat it, or it heals over time.",,"Du har rengja handleddet. Du kan ikkje halde våpen før du behandlar skaden, eller han legast av seg sjølv."
GAMEPLAY_SprainedWristHealed,Sprained wrist healed,,Rengja handledd lega
GAMEPLAY_SprainedWristHUD,Suffered a sprained wrist,,Du har rengja handleddet
GAMEPLAY_SprainedWristLog,Sprained wrist,,Rengja handledd
GAMEPLAY_SprainedWristMajor,Plane Crash Injuries,,Skadar etter flystyrten
GAMEPLAY_SprainedWristMajorDescription,"After the plane crash you are concussed, badly briused and feeling weak. Your neve was wounded during the crash. You will not be able to climb or hald weapons until it heals through rest.",,"Etter flystyrten har du hjernerystelse, du har slått deg kraftig og kjennar deg svak. Handa di blei skada i krasjet. Du kan ikkje klyve eller halde våpen før skaden lækjast. Det vil hjelpe å ta seg ein kvil."
GAMEPLAY_SprainPain,Pain,,Verk
GAMEPLAY_SprainPainDesc,"You are suffering from the pain of an injury, causing blurred vision and discomfort. Treat it, or let it heal on its own over time.",,Skada di verkar noko som fører til uklårt syn og ubehag. Læk det eller la det gå over.
GAMEPLAY_SprainRisk,Sprain Risk,,Rengjerisiko
GAMEPLAY_SprainRiskDesc,"You are Exhausted or Encumbered, and at higher risk for a Sprain when traversing sloped ground.",,Du er sleten eller nedtyngja og har derfor ein større sjanse for å rengja anklar og handledd når du går i bakkar.
GAMEPLAY_SprainRiskTreatment,Rest or drop some of your gear in order to eliminate the Sprain Risk.,,Kvil eller hiv i frå deg noko frå ranselen for å kvitta deg med rengjerisikoen.
GAMEPLAY_SprayNotMapped,This shape is not shown on the map when sprayed,,
GAMEPLAY_SprayPaint,Spray Paint,,
GAMEPLAY_SprayPaintDescription,A can of Spray Paint. Can be used to leave signs and markers in the environment.,,
GAMEPLAY_SprayPaintGlyphA,Spray Paint - Glyph,UI label,
GAMEPLAY_SprayPaintGlyphADescription,A can of Spray Paint. Can be used to create Glyphs to protect against the Darkwalker.,"UI label, Do not translate «Darkwalker»",
GAMEPLAY_SprayPaintIndoorNotOnMap,Spray Painting indoors will not show on the Map,,
GAMEPLAY_SprayPaintMapQKHeader,Map Survey,,
GAMEPLAY_SprayPaintMapQKMessage,New area surveyed on Map,,Nytt område kartlagt
GAMEPLAY_SprayPaintMultipleMarkers,Multiple Markers,,
GAMEPLAY_Sprint,Sprint,,Spring
GAMEPLAY_SSAO,SSAO,Abbreviation for Screen Space Ambient Occlusion,SSAO
GAMEPLAY_SSAODescription,Screen Space Ambient Occlusion simulates shadows around the edges of objects. Reduce quality level to improve performance.,Graphics setting.,Omgivnadsavhengig ljos i skjermbiletet (SSAO) simulerar skuggar rundt kantane på objekt. Reduser kvalitetsnivået for å betre ytinga.
GAMEPLAY_SSAOOff,Off,,Av
GAMEPLAY_SSAOOn,On,,På
GAMEPLAY_StagQuarter,deer Quarter,Piece of animal that's been sectioned from a carcass,Hjortestykke
GAMEPLAY_StagQuarterDescription,Section of a deer carcass. Cut from the carcass to make transporation a bit easier. Harvest for usable meat.,,Stykke av eit hjortekadaver. Skore av for å gjera det lettare å bera. Gjev deg etandes kjøt.
GAMEPLAY_StagQuarterFrozen,Frozen deer Quarter,,Frose hjortestykke
GAMEPLAY_Stalker,Stalker,,Jeger
GAMEPLAY_Stamina,Stamina,,
GAMEPLAY_StaminaClimb,You do not have enough stamina to climb,,Du har ikkje trott til å klatra
GAMEPLAY_Stand,Stand,,Reis deg
GAMEPLAY_Start,Start,,Start
GAMEPLAY_Startedfire,Started fire.,,Laga eld.
GAMEPLAY_StartFire,Start Fire,,Lag eld
GAMEPLAY_StartFishing,Start Fishing,,Start å fiske
GAMEPLAY_StartHarvest,Start Harvest,,Start å dela
GAMEPLAY_StartingFire,Starting Fire...,,Lagar eld...
GAMEPLAY_StartingFireIndoors,Starting a fire indoors requires a stove or fireplace,,Du treng ein omn eller ein eldstad for å laga eld inne.
GAMEPLAY_Starving,Starving,,Svelt
GAMEPLAY_Stat_AverageCaloriesPerDay,Average Calories Per Day,,Kalorier per dag i snitt
GAMEPLAY_Stat_BearEncountersSurvived,Bear Attacks Survived,,Bjørneåtak overlevd
GAMEPLAY_Stat_BearsKilled,Bears Killed,,Bjørnar drepne
GAMEPLAY_Stat_Blizzards,Blizzards Survived,,Snøstormar overlevd
GAMEPLAY_Stat_BloodLoss,BloodLoss,,Blodtap
GAMEPLAY_Stat_BowAccuracy,Bow Accuracy,,Treffsikkerheit med boge
GAMEPLAY_Stat_BowShot,Bow Shots Taken,,Skot med boge
GAMEPLAY_Stat_BrokenRib,Broken Rib,,Knekte ribbein
GAMEPLAY_Stat_CanOpenersFound,Can Openers Found,,Boksopnarar funne
GAMEPLAY_Stat_CansOpened,Cans Opened,,Boksar opna
GAMEPLAY_Stat_ChemicalPoisoning,Chemical Poisoning,,
GAMEPLAY_Stat_DaysInAshCanyonRegion,Days In Ash Canyon,,Dagar i Oskedalen
GAMEPLAY_Stat_DaysInBlackrockRegion,Days in Blackrock,,
GAMEPLAY_Stat_DaysInCanneryRegion,Days in Bleak Inlet Region,,Dagar i Tunglyndt sund
GAMEPLAY_Stat_DaysInCoastalHighway,Days In Coastal Highway,,Dagar i Kystvegen
GAMEPLAY_Stat_DaysInCrashMountainRegion,Days in Timberwolf Mountain,,Dagar på Vargafjellet
GAMEPLAY_Stat_DaysInDesolationPoint,Days in Desolation Point,,Dagar på Einsemdneset
GAMEPLAY_Stat_DaysInForsakenAirfield,Days in Forsaken Airfield,,
GAMEPLAY_Stat_DaysInLangstonMine,Days in Zone of Contamination,,
GAMEPLAY_Stat_DaysInMarshRegion,Days In Forlorn Muskeg,,Dagar i Aude myr
GAMEPLAY_Stat_DaysInMountainTownRegion,Days In Mountain Town,,Dagar i Fjellbyen
GAMEPLAY_Stat_DaysInMysteryLake,Days In Mystery lake,,Dagar i Løyndomsvatnet
GAMEPLAY_Stat_DaysInPleasantValley,Days in Kosedalen,,Dagar i Kosedalen
GAMEPLAY_Stat_DaysInRailwayRegion,Days in Broken Railroad,,Dagar i Øydelagt jernbane
GAMEPLAY_Stat_DaysInRiverValleyRegion,Days In Hushed River Valley,"Refers to new game world Region, Hushed River Valley",Dagar i Fåmælt juv
GAMEPLAY_Stat_DaysInTransferPass,Days in Transfer Pass,,
GAMEPLAY_Stat_DistanceTravelled,Distance Travelled <DISTANCE_KM>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Avstand ferda <DISTANCE_KM>
GAMEPLAY_Stat_DistanceTravelledOnRope,Distance Travelled on Rope<DISTANCE_METERS>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Avstand ferda med tau <DISTANCE_METERS>
GAMEPLAY_Stat_DistressPistolAccuracy,Distress Pistol Accuracy,,Treffsikkerheit med signalpistol
GAMEPLAY_Stat_DistressPistolShot,Distress Pistol Shots Taken,,Skot med signalpistol
GAMEPLAY_Stat_Dysentry,Dysentry,,Dysenteri
GAMEPLAY_Stat_EpisodeProgress,Episode completion,,
GAMEPLAY_Stat_FallCount,Falls,,Fall
GAMEPLAY_Stat_FiresStarted,Fires Started,,Eld kveika
GAMEPLAY_Stat_FishCaught,Fish Caught <WEIGHT>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Fisk fanga <WEIGHT>
GAMEPLAY_Stat_FishConsumed,Fish Consumed <WEIGHT>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Fisk ete <WEIGHT>
GAMEPLAY_Stat_FoodPoisoning,Food Poisoning,,Matforgiftning
GAMEPLAY_Stat_Frostbite,Frostbite,,Kaldbrann
GAMEPLAY_Stat_GutsHarvested,Guts Harvested,,Tarmar samla
GAMEPLAY_Stat_HidesHarvested,Hides Harvested,,Skinn samla
GAMEPLAY_Stat_HoursAsleep,Hours Rested,,Timar kvilt
GAMEPLAY_Stat_HoursAwake,Hours Awake,,Timar vaken
GAMEPLAY_Stat_HoursIndoors,Hours Indoors,,Timar inne
GAMEPLAY_Stat_HoursOutdoors,Hours Outdoors,,Timar ute
GAMEPLAY_Stat_HoursSurvived,Days Survived,,dagar overlevd
GAMEPLAY_Stat_Hypothermia,Hypothermia,,Hypotermi
GAMEPLAY_Stat_IndoorLocationsExplored,Indoor Locations Explored,,Inneplassar utforskat
GAMEPLAY_Stat_Infection,Infection,,Infeksjon
GAMEPLAY_Stat_Insomnia,Insomnia,,
GAMEPLAY_Stat_ItemsBrokenDown,Items Broken Down,,Ting øydelagt
GAMEPLAY_Stat_ItemsCrafted,Items Crafted,,Ting laga
GAMEPLAY_Stat_ItemsLooted,Items looted,,Ting plukka opp
GAMEPLAY_Stat_LocationsExplored,Locations Discovered,,Oppdaga plassar
GAMEPLAY_Stat_LongestBurningFire,Longest Burning Fire <HOURS>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Lengstvarande eld <HOURS>
GAMEPLAY_Stat_MeatConsumed,Meat Consumed <WEIGHT>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Kjøt ete <WEIGHT>
GAMEPLAY_Stat_MeatHarvested,Meat Harvestad <WEIGHT>,Please do not translate the the text between the < >. This text will be replaced at runtime with the correct value,Kjøt samla <WEIGHT>
GAMEPLAY_Stat_MooseEncountersSurvived,Moose Attacks Survived,,Elgeåttak overlevd
GAMEPLAY_Stat_MooseKilled,Moose Killed,,Elgar drepne
GAMEPLAY_Stat_NumRopeFalls,Falls from Rope,,Fall frå tau
GAMEPLAY_Stat_NumRopeSlips,Slips on Rope,,Sklidd frå tau
GAMEPLAY_Stat_OutdoorLocationsExplored,Outdoor Locations Found,,Uteplassar funne
GAMEPLAY_Stat_OutdoorWorldExploredPercentage,Outdoor World Explored,,Utandørsverda utforska
GAMEPLAY_Stat_PlantsHarvested,Plants Harvested,,Plantar samla
GAMEPLAY_Stat_RabbitsKilled,Rabbits Killed,,Kaninar drepne
GAMEPLAY_Stat_RabbitsSnared,Rabbits Snared,,Kaniner fanga snarar
GAMEPLAY_Stat_RevolverShot,Revolver Shots Taken,,Skot med revolver
GAMEPLAY_Stat_RifleAccuracy,Rifle Accuracy,,Treffsikkerheit med børse
GAMEPLAY_Stat_RifleShot,Rifle Shots Taken,,Skot med børse
GAMEPLAY_Stat_Scurvy,Scurvy,,Skjørbuk
GAMEPLAY_Stat_Sprains_Ankle,Ankle Sprains,,Rengja ankler
GAMEPLAY_Stat_Sprains_Wrist,Wrist Sprains,,Rengja handledd
GAMEPLAY_Stat_StagsKilled,deer Killed,,Hjortar drepne
GAMEPLAY_Stat_SuccessfulHits_Bow,Wildlife Bow Hits,,Treff på dyr med boge
GAMEPLAY_Stat_SuccessfulHits_DistressPistol,Wildlife Distress Pistol Hits,,Treff på dyr med signalpistol
GAMEPLAY_Stat_SuccessfulHits_Revolver,Wildlife Revolver Hits,,Treff på dyr med revolver
GAMEPLAY_Stat_SuccessfulHits_Rifle,Wildlife Rifle Hits,,Treff på dyr med børse
GAMEPLAY_Stat_SuccessfulRepairs,Successful Repairs,,Vellykka vølingar
GAMEPLAY_Stat_TimeRestedOutdoors,Hours Restad Outdoors,,Timar kvilt ute
GAMEPLAY_Stat_TotalCaloriesExpended,Calories Expended,,Forbrunne kaloriar
GAMEPLAY_Stat_WolfCloseEncounters,Wolf Close Encounters,,Ulvar støyta på
GAMEPLAY_Stat_WolfStruggles,Wolf Struggles,,Ulveåtak
GAMEPLAY_Stat_WolfStrugglesWon,Wolf Struggles Won,,Ulveåtak vunne
GAMEPLAY_Stat_WolvesDistactedByDecoys,Wolves Distracted By decoys,,Ulvar distrahert med åte
GAMEPLAY_Stat_WolvesKilled,Wolves Killed,,Ulvar drepne
GAMEPLAY_Stat_WorldExploredPercentage,World Explored,,Verd utforska
GAMEPLAY_Statistic,Statistic,,Statistikk
GAMEPLAY_Stats,Stats,,Statistikk
GAMEPLAY_Status,Status,,Status
GAMEPLAY_SteamerTrunk,Trunk,a steameir trunk,Kiste
GAMEPLAY_SteamerTrunkContainerOpen,Open Trunk,steameir trunk,Opn kiste
GAMEPLAY_SteamerTrunkContainerSearch,Search Trunk,steameir trunk,Gransk kiste
GAMEPLAY_SteamPipeClosed,CLOSED,,STENGD
GAMEPLAY_SteamPipeFrozen,FROZEN,,FROSEN
GAMEPLAY_SteamPipeOpen,OPEN,,OPEN
GAMEPLAY_SteamPipeValve,Steam Pipe Valve,,
GAMEPLAY_SteamPipeValveHandle,Valve Socket Handle,,
GAMEPLAY_SteamPipeValveHandleDescription,A sturdy handle for opening and closing pipe valves. ,,
GAMEPLAY_SteamPipeValveSocket,Valve Socket,,
GAMEPLAY_Stick,Stick,"small stick, fallen from a tree",Pinne
GAMEPLAY_StickDescription,"Small stick, will burn, but not for long",,"Ein liten pinne. Han brenn, men ikkje lenge."
GAMEPLAY_Sticks,Sticks,,Pinnar
GAMEPLAY_Stomach,Stomach,Affliction location for Stomach,Mage
GAMEPLAY_Stone,Stone,A small stone that can be thrown.,Stein
GAMEPLAY_StoneDescription,A small stone. Big enough to stun a small animal. Might be enough to scare off a bigger one.,,Ein liten stein. Stor nok til å svimeslå eit lite dyr. Muligens nok til å skremma vekk eit stort.
GAMEPLAY_Stones,Stones,Plural stones.,Steinar
GAMEPLAY_StoreCupboard,Storage Cupboard,,Skåp
GAMEPLAY_StoreCupboardContainer,Storage Cupboard,,Skåp
GAMEPLAY_StoreCupboardContainerOpen,Open Storage Cupboard,,Opn skåp
GAMEPLAY_StoreCupboardContainerSearch,Search Storage Cupboard,,Gransk skåp
GAMEPLAY_StormLantern,Storm Lantern,,Stormlampe
GAMEPLAY_StormLanternDescription,Wind-proof storm lantern with mechanical ignitor. Burns lamp oil.,,Vindtett stormlampe med mekanisk kveikar. Brenn parafin.
GAMEPLAY_Story,Story,,Historie
GAMEPLAY_StoryModeNewName,WINTERMUTE,New name for our Story Mode,WINTERMUTE
GAMEPLAY_StoryNotAvailable,"(Not Available In Alpha)
Play the story of bush pilot[D79D03FF] Will Mackenzie[-] as he struggles to survive, crashed in the wilderness in the aftermath of a mysterious geomagnetic disaster.
(Season One - Ep. 1-?)",,"(Ikkje tilgjengeleg i Alpha)
Spel historia til villmarkspiloten[D79D03FF] Will Mackenzie[-], som kjempar for å overleva i villmarka i etterkant av ein mystisk, geomagnetisk katastrofe.
(Sesong 1 – Episode 1–?)"
GAMEPLAY_StoryPreviewEpisodeFiveName,Episode Five,,Episode 5
GAMEPLAY_StoryPreviewEpisodeFourDesc,"A murderous gang of escaped convicts has captured Mackenzie. Desperate to escape one of the darkest corners of Great Bear Island, he must somehow survive his fiercest enemy yet. Can Mackenzie recover the Hardcase, continue his search for Astrid, and also save the innocents caught up in this deadly confrontation?",,
GAMEPLAY_StoryPreviewEpisodeFourName,Episode Four,,Episode 4
GAMEPLAY_StoryPreviewEpisodeLocked,Locked,Locked refers to the content currently being locked.,Låst
GAMEPLAY_StoryPreviewEpisodeOneDate,"Unlocks August 1st, 2017",Unlocks refers to the content unlocking on that date.,Låsast opp 1. august 2017
GAMEPLAY_StoryPreviewEpisodeOneDesc,"Mackenzie and Dr. Greenwood are separated after their plane crashes deep in the Northern Canadian wilderness. Struggling to survive, Mackenzie explores the small town of Milton, where he begins to understand the scope of this quiet apocalypse.",description of episode one's story,"Mackenzie og dr. Greenwood vert skilt når flyet deira krasjar djupt inne i den nord-kanadiske villmarka. Desperat etter å overleva utforskar Mackenzie den litle byen Milton, kor han byrjar å forstå ruvet av den stille apokalypsen."
GAMEPLAY_StoryPreviewEpisodeOneName,Episode One: Do Not Go Gentle,Name of episode one,Episode 1: Ikkje gje deg utan kamp
GAMEPLAY_StoryPreviewEpisodeThreeDesc,"In the aftermath of events in Milton, an enigmatic stranger rescues Dr. Astrid Greenwood from near-death. Facing the blizzards of Pleasant Valley, Astrid must bring all her skills as a doctor to bear on the survivors she encounters. But will she find Mackenzie, and get closer to the mystery that's taking them to Perseverance Mills?",,
GAMEPLAY_StoryPreviewEpisodeThreeName,Episode Three,,Episode 3
GAMEPLAY_StoryPreviewEpisodeTwoDate,"Unlocks August 1st, 2017",Unlocks refers to the content unlocking on that date.,Låsast opp 1. august 2017
GAMEPLAY_StoryPreviewEpisodeTwoDesc,Mackenzie's search for Astrid takes him deeper into the savage wilderness. A mysterious trapper may be the key to finding Astrid. But can he be trusted?,description of epsiode two's story,Mackenzie si leiting etter Astrid tek han djupare inn i villmarka. Ein mystisk pelsjeger kan vera nykelen til å finna ho. Men er han til å stola på?
GAMEPLAY_StoryPreviewEpisodeTwoName,Episode Two: Luminance Fugue,Name of episode two,Episode 2: Luminescensskodde
GAMEPLAY_StoryPreviewPlayableAsAstrid,[Playable as Astrid],,[Kan spelast som Astrid]
GAMEPLAY_Stove,Stove,,Omn
GAMEPLAY_Strength,Strength,,Styrkje
GAMEPLAY_Strike,Strike,,Kveik
GAMEPLAY_StrikeMatch,Strike Match,,Kveik fyrstikk
GAMEPLAY_StruggleInput,Struggle Input Type,Option for repeated button tapping vs. press-and-hold during Struggles,Trykkjemetode åtak
GAMEPLAY_StruggleInputDescription,"Toggle between Struggle being won by Quick Tapping, or by simple Press and Hold. Press and Hold is an accessible interaction, while Quick Tapping allows for optimizing the struggle outcome.",Options Menu accessibility setting,"Vel mellom å snøggtrykka eller hald inne for å vinna i eit åtak. Hald inne er ein tilgjengeinnstilling, medan snøggtrykk kan vera optimalt om ein får det til."
GAMEPLAY_StruggleRevolverFire,Take Shot!,A UI option the player sees during a Struggle with a wolf -- to fire the Revolver in defense.,Skyt!
GAMEPLAY_StumpRemover,Stump Remover,,Stubbefjernar
GAMEPLAY_StumpRemoverDescription,"An herbicide, this chemical can also be used to Craft Gunpowder.",,Ugrasmiddel tiltenkt trestubbar. Kan laga krut med det i kombinasjon med andre middel.
GAMEPLAY_SubStationMemo,Old Substation Work Memo,,
GAMEPLAY_SubStationMemo_Desc,Memo with details on a troubled power worker.,,
GAMEPLAY_SubStationMemo_NarrativeText,"[letterhead from a prison support company sub-contractor]

Linda, I know this is a touchy subject for you given it’s just you and him trading shifts this season, but please take a hard look at Sam when you see him. His check-ins are getting more infrequent and less coherent by the week.

We’re doing our best down here in Central to get you guys some more help this year, but you know how that goes these days. ",,
GAMEPLAY_Subtitles,Subtitles,,Undertekstar
GAMEPLAY_SubtitlesDescription,Controls when subtitles are shown. “On” will display dialogue. “Closed Captioning” will display dialogue and other sounds.,Options Menu quality setting,
GAMEPLAY_SubtitleSize,Subtitle Size,,Storleik undertekstar
GAMEPLAY_SubtitleSizeDescription,Scale the size of subtitle text for increased legibility.,Options Menu accessibility setting,Skaler storleiken på underteksten for å gjera det lettare å lesa.
GAMEPLAY_Success,Success,,Suksess
